labas	_ l aA b aA s _
lietuva	_ l' i eA t u v aA _
ačiū	_ aA tS' uU _
šuo	_ S u oO _
žąsis	_ Z aA s' i s _
penki	_ p' eA N' k' i _
ąžuolas	_ aA Z u oO l aA s _
motina	_ m oO t' i n aA _
sudie	_ s u d' i eA _
gintaras	_ g' i N t aA r aA s _
kompiuteris	_ k oO M' p' u t' eA r' i s _
namas	_ n aA m aA s _
vanduo	_ v aA N d u oO _
saulė	_ s aA W l' eE _
mėnulis	_ m' eE n u l' i s _
žmogus	_ Z M oO g u s _
vaikas	_ v aA J k aA s _
mokykla	_ m oO k' iI k L aA _
knyga	_ k' N' iI g aA _
draugas	_ d R aA W g aA s _
meilė	_ m' eA J l' eE _
laisvė	_ l aA J s' v' eE _
tėvynė	_ t' eE v' iI n' eE _
kalba	_ k aA L b aA _
sintezė	_ s' i N' t' eA z' eE _
balsas	_ b aA L s aA s _
garsas	_ g aA R s aA s _
tekstas	_ t' eA k s t aA s _
skaičius	_ s k aA J tS' u s _
vienas	_ v' i eA n aA s _
du	_ d u _
trys	_ t' R' iI s _
keturi	_ k' eA t u r' i _
šeši	_ S' eA S' i _
septyni	_ s' eA p' t' iI n' i _
aštuoni	_ aA S t u oO n' i _
devyni	_ d' eA v' iI n' i _
dešimt	_ d' eA S' i M t _
šimtas	_ S' i M t aA s _
tūkstantis	_ t uU k s t aA N' t' i s _
pirmas	_ p' i R m aA s _
antras	_ aA N t R aA s _
darbas	_ d aA R b aA s _
miestas	_ m' i eA s t aA s _
kaimas	_ k aA J m aA s _
kelias	_ k' eA l' eA s _
upė	_ u p' eE _
jūra	_ j' uU r aA _
dangus	_ d aA N g u s _
debesis	_ d' eA b' eA s' i s _
lietus	_ l' i eA t u s _
sniegas	_ s' N' i eA g aA s _
ryškus	_ r' iI S k u s _
tamsus	_ t aA M s u s _
didelis	_ d' i d' eA l' i s _
mažas	_ m aA Z aA s _
geras	_ g' eA r aA s _
blogas	_ b L oO g aA s _
naujas	_ n aA W j' eA s _
senas	_ s' eA n aA s _
greitas	_ g' R' eA J t aA s _
lėtas	_ l' eE t aA s _
ąsotis	_ aA s oO t' i s _
eglė	_ eA g' L' eE _
įsakymas	_ iI s aA k' iI m aA s _
ūdra	_ uU d R aA _
ūkas	_ uU k aA s _
česnakas	_ tS' eA s N aA k aA s _
šaukštas	_ S aA W k S t aA s _
žvaigždė	_ Z v aA J g' Z' d' eE _
chemija	_ x' eA m' i j' eA _
telefonas	_ t' eA l' eA f oO n aA s _
televizorius	_ t' eA l' eA v' i z oO r' u s _
radijas	_ r aA d' i j' eA s _
automobilis	_ aA W t oO m oO b' i l' i s _
dviratis	_ d' v' i r aA t' i s _
traukinys	_ t R aA W k' i n' iI s _
lėktuvas	_ l' eE k t u v aA s _
laivas	_ l aA J v aA s _
kelionė	_ k' eA l' oO n' eE _
diena	_ d' i eA n aA _
naktis	_ n aA k' t' i s _
rytas	_ r' iI t aA s _
vakaras	_ v aA k aA r aA s _
savaitė	_ s aA v aA J t' eE _
mėnuo	_ m' eE n u oO _
metai	_ m' eA t aA J _
valanda	_ v aA l aA N d aA _
minutė	_ m' i n u t' eE _
sekundė	_ s' eA k u N' d' eE _
mama	_ m aA m aA _
tėtis	_ t' eE t' i s _
sesuo	_ s' eA s u oO _
brolis	_ b R oO l' i s _
senelis	_ s' eA n' eA l' i s _
senelė	_ s' eA n' eA l' eE _
teta	_ t' eA t aA _
dėdė	_ d' eE d' eE _
pusbrolis	_ p u z b R oO l' i s _
pusseserė	_ p u s' s' eA s' eA r' eE _
